1,5
2,10
3,15
4,20
5,25
6,30
7,34
8,39
9,43
10,48
11,52
12,56
13,61
14,64
15,68
16,72
17,75
18,78
19,81
20,84
21,87
22,89
23,91
24,93
25,95
26,96
27,98
28,99
29,99
30,100
31,100
32,100
33,100
34,99
35,98
36,97
37,96
38,95
39,93
40,91
41,89
42,86
43,84
44,81
45,78
46,75
47,71
48,68
49,64
50,60
51,56
52,52
53,47
54,43
55,38
56,33
57,29
58,24
59,19
60,14
61,9
62,4
63,-1
64,-6
65,-11
66,-16
67,-21
68,-26
69,-30
70,-35
71,-40
72,-44
73,-49
74,-53
75,-57
76,-61
77,-65
78,-69
79,-72
80,-76
81,-79
82,-82
83,-85
84,-87
85,-89
86,-92
87,-94
88,-95
89,-97
90,-98
91,-99
92,-99
93,-100
94,-100
95,-100
96,-100
97,-99
98,-98
99,-97
100,-96
101,-94
102,-93
103,-91
104,-88
105,-86
106,-83
107,-80
108,-77
109,-74
110,-71
111,-67
112,-63
113,-59
114,-55
115,-51
116,-46
117,-42
118,-37
119,-33
120,-28
121,-23
122,-18
123,-13
124,-8
125,-3
126,2
127,7
128,12
129,17
130,22
131,26
132,31
133,36
134,40
135,45
136,49
137,54
138,58
139,62
140,66
141,69
142,73
143,76
144,79
145,82
146,85
147,88
148,90
149,92
150,94
151,95
152,97
153,98
154,99
155,99
156,100
157,100
158,100
159,100
160,99
161,98
162,97
163,96
164,94
165,92
166,90
167,88
168,85
169,83
170,80
171,77
172,73
173,70
174,66
175,62
176,58
177,54
178,50
179,46
180,41
181,37
182,32
183,27
184,22
185,17
186,12
187,7
188,2
189,-3
190,-8
191,-12
192,-17
193,-22
194,-27
195,-32
196,-37
197,-41
198,-46
199,-50
200,-54
201,-59
202,-63
203,-66
204,-70
205,-73
206,-77
207,-80
208,-83
209,-85
210,-88
211,-90
212,-92
213,-94
214,-96
215,-97
216,-98
217,-99
218,-100
219,-100
220,-100
221,-100
222,-99
223,-99
224,-98
225,-97
226,-95
227,-94
228,-92
229,-90
230,-88
231,-85
232,-82
233,-79
234,-76
235,-73
236,-69
237,-66
238,-62
239,-58
240,-54
241,-49
242,-45
243,-40
244,-36
245,-31
246,-26
247,-21
248,-17
249,-12
250,-7
251,-2
252,3
253,8
254,13
255,18
256,23
257,28
258,33
259,37
260,42
261,46
262,51
263,55
264,59
265,63
266,67
267,71
268,74
269,77
270,80
271,83
272,86
273,88
274,91
275,93
276,94
277,96
278,97
279,98
280,99
281,100
282,100
283,100
284,100
285,99
286,99
287,98
288,97
289,95
290,93
291,92
292,89
293,87
294,85
295,82
296,79
297,76
298,72
299,69
300,65
301,61
302,57
303,53
304,49
305,44
306,40
307,35
308,30
309,26
310,21
311,16
312,11
313,6
314,1
315,-4
316,-9
317,-14
318,-19
319,-24
320,-29
321,-34
322,-38
323,-43
324,-47
325,-52
326,-56
327,-60
328,-64
329,-68
330,-71
331,-75
332,-78
333,-81
334,-84
335,-86
336,-89
337,-91
338,-93
339,-95
340,-96
341,-97
342,-98
343,-99
344,-100
345,-100
346,-100
347,-100
348,-99
349,-99
350,-98
351,-96
352,-95
353,-93
354,-91
355,-89
356,-87
357,-84
358,-81
359,-78
360,-75
361,-72
362,-68
363,-64
364,-60
365,-56
366,-52
367,-48
368,-43
369,-39
370,-34
371,-30
372,-25
373,-20
374,-15
375,-10
376,-5
377,0
378,5
379,10
380,15
381,20
382,25
383,30
384,34
385,39
386,44
387,48
388,52
389,57
390,61
391,64
392,68
393,72
394,75
395,78
396,81
397,84
